,name,trimmed_name
723,zynga inc,zynga
724,albany molecular research inc,albany molecular research
725,sentinel energy services inc.,sentinel energy services
726,footstar inc,footstar
727,"vigilant diversified holdings, inc./nv","vigilant diversified holdings, inc./nv"
728,gan limited,gan limited
729,"u-swirl, inc.",u-swirl
730,credit acceptance corp,credit acceptance
731,"stg group, inc.",stg group
732,western reserve bancorp inc,western reserve bancorp
733,"semrush holdings, inc.",semrush holdings
734,concentrix corporation,concentrix
735,"yogaworks, inc.",yogaworks
736,trinity capital inc.,trinity capital
737,zeltiq aesthetics inc,zeltiq aesthetics
738,"mit holding, inc.",mit holding
740,stratos     renewables corporation,stratos     renewables
741,"royale energy funds, inc",royale energy funds
742,nimin energy corp.,nimin energy
743,i/omagic corp,i/omagic
744,brookfield asset management inc.,brookfield asset management
745,predictmedix inc.,predictmedix
746,las vegas sands corp.,las vegas sands
747,premium nickel resources ltd.,premium nickel resources
748,"forza innovations, inc.",forza innovations
749,commonwealth income & growth fund vi,commonwealth income & growth fund vi
751,"globalstar, inc.",globalstar
753,pegasi energy resources corporation.,pegasi energy resources
754,amarin corp plc\uk,amarin corp plc\uk
755,"oak ridge financial services, inc.",oak ridge financial services
756,defense technologies international corp.,defense technologies international
757,"relmada therapeutics, inc.",relmada therapeutics
758,american laser healthcare corp,american laser healthcare
759,"world point terminals, lp",world point terminals
760,"biomimetic therapeutics, inc.",biomimetic therapeutics
761,accelerated acquisitions xxi,accelerated acquisitions xxi
